Index,main_speaker,title,details,posted,url,
538,Hamdi Ulukaya,The anti-CEO playbook,"Profit, money, shareholders: these are the priorities of most companies today. But at what cost? In an appeal to corporate leaders worldwide, Chobani founder Hamdi Ulukaya calls for an end to the business playbook of the past -- and shares his vision for a new, ""anti-CEO playbook"" that prioritizes people over profits. ""This is the difference between profit and true wealth,"" he says.",Posted May 2019,https://www.ted.com/talks/hamdi_ulukaya_the_anti_ceo_playbook,
539,Bruce Friedrich,The next global agricultural revolution,"Conventional meat production causes harm to our environment and presents risks to global health, but people aren't going to eat less meat unless we give them alternatives that cost the same (or less) and that taste the same (or better). In an eye-opening talk, food innovator and TED Fellow Bruce Friedrich shows the plant- and cell-based products that could soon transform the global meat industry -- and your dinner plate.",Posted May 2019,https://www.ted.com/talks/bruce_friedrich_the_next_global_agricultural_revolution,
540,Jeff Leek and Lucy McGowan,Can you spot the problem with these headlines? (Level 1),"In medicine, there's often a disconnect between news headlines and the scientific research they cover. While headlines are designed to catch attention, many studies produce meaningful results when they focus on a narrow, specific question. So how can you figure out what's a genuine health concern and what's less conclusive? Jeff Leek and Lucy McGowan explain how to read past the headline. [Directed by Zedem Media, narrated by Addison Anderson].",Posted May 2019,https://www.ted.com/talks/jeff_leek_and_lucy_mcgowan_can_you_spot_the_problem_with_these_headlines_level_1,
541,Lucy Cooke,Sloths! The strange life of the world's slowest mammal,"Sloths have been on this planet for more than 40 million years. What's the secret to their success? In a hilarious talk, zoologist Lucy Cooke takes us inside the strange life of the world's slowest mammal and shows what we can learn from their ingenious adaptations.",Posted May 2019,https://www.ted.com/talks/lucy_cooke_sloths_the_strange_life_of_the_world_s_slowest_mammal,
542,Joshua W. Pate,The mysterious science of pain,"In 1995, the British Medical Journal published a report about a builder who accidentally jumped onto a nail, which pierced straight through his steel-toed boot. He was in such agonizing pain that any movement was unbearable. But when the doctors took off his boot, they discovered that the nail had never touched his foot at all. What's going on? Joshua W. Pate investigates the experience of pain. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted May 2019,https://www.ted.com/talks/joshua_w_pate_the_mysterious_science_of_pain,
543,Brittany Packnett,How to build your confidence — and spark it in others,"""Confidence is the necessary spark before everything that follows,"" says educator and activist Brittany Packnett. In an inspiring talk, she shares three ways to crack the code of confidence -- and her dream for a world where revolutionary confidence helps turn our most ambitious dreams into reality.",Posted May 2019,https://www.ted.com/talks/brittany_packnett_how_to_build_your_confidence_and_spark_it_in_others,
544,Katie Hood,The difference between healthy and unhealthy love,"In a talk about understanding and practicing the art of healthy relationships, Katie Hood reveals the five signs you might be in an unhealthy relationship -- with a romantic partner, a friend, a family member -- and shares the things you can do every day to love with respect, kindness and joy. ""While love is an instinct and an emotion, the ability to love better is a skill we can all build and improve on over time,"" she says.",Posted May 2019,https://www.ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love,
545,Fabio Pacucci,Can a black hole be destroyed?,"Black holes are among the most destructive objects in the universe. Anything that gets too close to a black hole, be it an asteroid, planet, or star, risks being torn apart by its extreme gravitational field. By some accounts, the universe may eventually consist entirely of black holes. But is there any way to destroy a black hole? Fabio Pacucci digs into the possibility. [Directed by Provincia Studio, narrated by Addison Anderson, music by Stephen LaRosa].",Posted May 2019,https://www.ted.com/talks/fabio_pacucci_can_a_black_hole_be_destroyed,
546,Arnav Kapur,How AI could become an extension of your mind,"Try talking to yourself without opening your mouth, by simply saying words internally. What if you could search the internet like that -- and get an answer back? In the first live public demo of his new technology, TED Fellow Arnav Kapur introduces AlterEgo: a wearable AI device with the potential to let you silently talk to and get information from a computer system, like a voice inside your head. Learn more about how the device works and the far-reaching implications of this new kind of human-computer interaction.",Posted May 2019,https://www.ted.com/talks/arnav_kapur_how_ai_could_become_an_extension_of_your_mind,
547,Suchitra Krishnan-Sarin,What you should know about vaping and e-cigarettes,"E-cigarettes and vapes have exploded in popularity in the last decade, especially among youth and young adults -- from 2011 to 2015, e-cigarette use among high school students in the US increased by 900 percent. Biobehavioral scientist Suchitra Krishnan-Sarin explains what you're actually inhaling when you vape (hint: it's definitely not water vapor) and explores the disturbing marketing tactics being used to target kids. ""Our health, the health of our children and our future generations is far too valuable to let it go up in smoke -- or even in aerosol,"" she says. ",Posted May 2019,https://www.ted.com/talks/suchitra_krishnan_sarin_what_you_should_know_about_vaping_and_e_cigarettes,
548,Alex Gendler,"Why should you read ""Crime and Punishment""?","What drives someone to kill in cold blood? What goes through the murderer's mind? And what kind of a society breeds such people? Over 150 years ago Fyodor Mikhailovich Dostoyevsky took these questions up in what would become one of the best-known works of Russian literature: ""Crime and Punishment."" Alex Gendler digs into the classic novel's exploration of alienation, morality and redemption. [Directed by WOW-HOW Studio, narrated by Addison Anderson, music by Stephen LaRosa].",Posted May 2019,https://www.ted.com/talks/alex_gendler_why_should_you_read_crime_and_punishment,
549,Carson Bruns,Could a tattoo help you stay healthy?,Can we make tattoos both beautiful and functional? Nanotechnologist Carson Bruns shares his work creating high-tech tattoos that react to their environment -- like color-changing ink that can tell you when you're getting a sunburn -- and shows exciting ways they can deliver real-time information about our health.,Posted May 2019,https://www.ted.com/talks/carson_bruns_could_a_tattoo_help_you_stay_healthy,
550,Sajan Saini,"How do self-driving cars ""see""?","It's late, pitch dark and a self-driving car winds down a narrow country road. Suddenly, three hazards appear at the same time. With no human at the wheel, the car uses smart eyes, sensors that'll resolve these details all in a split-second. How is this possible? Sajan Saini explains how LIDAR and integrated photonics technology make self-driving cars a reality. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted May 2019,https://www.ted.com/talks/sajan_saini_how_do_self_driving_cars_see,
551,Doug Roble,Digital humans that look just like us,"In an astonishing talk and tech demo, software researcher Doug Roble debuts ""DigiDoug"": a real-time, 3-D, digital rendering of his likeness that's accurate down to the scale of pores and wrinkles. Powered by an inertial motion capture suit, deep neural networks and enormous amounts of data, DigiDoug renders the real Doug's emotions (and even how his blood flows and eyelashes move) in striking detail. Learn more about how this exciting tech was built -- and its applications in movies, virtual assistants and beyond.",Posted May 2019,https://www.ted.com/talks/doug_roble_digital_humans_that_look_just_like_us,
